"","nct_id","Disease","Phase","Industry","Duration.Treatment","Duration.Trial","N_total","Tier2_fraction","Tier3_fraction","GDP_weighted","Female_fraction","Age_mean","AA_fraction","Asian_fraction","Native_fraction","AE_AST_ALT","AE_COPD","AE_GORD","AE_LRTI","AE_URTI","AE_UTI","AE_abdominal_pain","AE_alopecia","AE_anaemia","AE_anorexia","AE_asthma","AE_back_pain","AE_bleeding","AE_chest_pain","AE_chills","AE_constipation","AE_cough","AE_dehydration","AE_diarrhoea","AE_dizziness","AE_drowsiness","AE_dyspepsia","AE_dyspnoea","AE_embolism","AE_fatigue","AE_fibrillation","AE_gastroenteritis","AE_haemoptysis","AE_headache","AE_heart_attack","AE_heart_failure","AE_hyperglycaemia","AE_hypertension","AE_hypokalaemia","AE_hyponatraemia","AE_hypotension","AE_hypoxia","AE_injection_site","AE_insomnia","AE_joint_pain","AE_limb_pain","AE_mood","AE_muscle_pain","AE_nasal","AE_nasopharyngitis","AE_nausea","AE_neutropenia","AE_pain","AE_pharynx_pain","AE_pleural_effusion","AE_pneumothorax","AE_pyrexia","AE_renal_failure","AE_respiratory_failure","AE_sepsis","AE_skin","AE_stroke","AE_swelling","AE_syncope","AE_taste","AE_thrombocytopenia","AE_thrombosis","AE_total_mortality","AE_total_other","AE_total_serious","dwp_all","dwp_wo_ae","dwp_sub"
"2","NCT00001596","Fibrosis","Phase 2","Not",12,53.9835616438356,35,0,0,59495,0.652173913043478,39.53,12.3,3.6,9,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0.130434782608696,0,0,0,0,0,0.173913043478261,0.0434782608695652,0.521739130434783,0,0,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043478261,0,0,0,0,0,0,0,0.0869565217391304,0,0.0869565217391304,0,0,0,0,0,0.0434782608695652,0,0.782608695652174,0.260869565217391,17.3913043478261,13.0434782608696,13.0434782608696
"3","NCT00001723","Sleep Apnea","Phase 2","Collabor",6,161.128767123288,200,0,0,59495,0.66,14.52,12.3,3.6,9,0,0,0,0,0,0,0.21,0,0,0.09,0.03,0,0.02,0,0.02,0.22,0.07,0,0.45,0.04,0,0,0,0,0.05,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.12,0,0.05,0.09,0,0.07,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.94,0.02,9,7,7
"4","NCT00001723","Sleep Apnea","Phase 2","Collabor",6,161.128767123288,200,0,0,59495,0.65,14.65,12.3,3.6,9,0,0,0,0,0,0,0.16,0,0,0.11,0.05,0,0.05,0,0.05,0.25,0,0,0.68,0.04,0,0,0,0,0.01,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.16,0,0.02,0.1,0,0.07,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.95,0,7,6,6
"5","NCT00003869","Cancer","Phase 3","Not",18.2573883333333,73.4794520547945,186,0,0,59495,0.402173913043478,65.7330077184346,1.08695652173913,0,1.08695652173913,0.0434782608695652,0,0,0.0108695652173913,0,0,0.0434782608695652,0.16304347826087,0.554347826086957,0.130434782608696,0,0,0.0108695652173913,0.0108695652173913,0.0217391304347826,0.0869565217391304,0.141304347826087,0,0.0434782608695652,0.0652173913043478,0,0.0108695652173913,0.228260869565217,0,0.293478260869565,0.0217391304347826,0,0.0217391304347826,0.0760869565217391,0,0,0.0869565217391304,0.0108695652173913,0.0217391304347826,0.0217391304347826,0,0.0108695652173913,0.0108695652173913,0.0108695652173913,0.0760869565217391,0,0.0434782608695652,0.108695652173913,0.0326086956521739,0,0.304347826086957,0.0760869565217391,0.0869565217391304,0,0.0108695652173913,0,0.0108695652173913,0,0,0,0.0434782608695652,0,0.0869565217391304,0,0.0326086956521739,0.108695652173913,0,0,0.91304347826087,0.0652173913043478,6.52173913043478,3.26086956521739,3.26086956521739
"6","NCT00003869","Cancer","Phase 3","Not",18.2573883333333,73.4794520547945,186,0,0,59495,0.446808510638298,65.7330077184346,0,0,1.06382978723404,0.0333333333333333,0,0,0.0111111111111111,0,0,0.0333333333333333,0.133333333333333,0.488888888888889,0.311111111111111,0,0,0.0111111111111111,0.0333333333333333,0.0111111111111111,0.155555555555556,0.0777777777777778,0.0111111111111111,0.0444444444444444,0.0888888888888889,0,0.0222222222222222,0.166666666666667,0,0.533333333333333,0.0222222222222222,0,0.0222222222222222,0.0444444444444444,0,0,0.0444444444444444,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0111111111111111,0.0111111111111111,0,0.0111111111111111,0.0777777777777778,0,0.0555555555555556,0.0333333333333333,0,0,0.611111111111111,0.0888888888888889,0.0555555555555556,0,0.0111111111111111,0,0.0111111111111111,0,0,0,0.0333333333333333,0,0.0444444444444444,0,0.0333333333333333,0.122222222222222,0.0111111111111111,0,0.966666666666667,0.1,37.2340425531915,22.3404255319149,22.3404255319149
"7","NCT00003901","Cancer","Phase 3","Not",5.81853313445907,147.123287671233,1047,0,0,59103.4827586207,0.486150907354346,67.2,5.73065902578797,1.33715377268386,1.14613180515759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859598853868195,0.191021967526266,0.0955109837631328
"13","NCT00045162","Cancer","Phase 3","Not",9.3,61.3150684931507,651,0,0,59439.3431372549,0.443425076452599,63,5.5045871559633,0.305810397553517,0,0.113149847094801,0,0,0,0,0,0.137614678899083,0.623853211009174,0.73394495412844,0.406727828746177,0,0,0.00305810397553517,0,0,0.302752293577982,0.131498470948012,0.217125382262997,0.259938837920489,0.0886850152905199,0,0.0795107033639144,0.299694189602446,0,0.752293577981651,0,0,0,0.0856269113149847,0,0,0.238532110091743,0,0.152905198776758,0.220183486238532,0.0886850152905199,0,0,0.0886850152905199,0,0,0,0.0611620795107034,0,0,0.697247706422018,0.779816513761468,0.140672782874618,0,0,0.00305810397553517,0,0.00305810397553517,0,0,0.0917431192660551,0,0.162079510703364,0,0.0764525993883792,0.510703363914373,0.0519877675840979,0,0.969418960244648,0.0948012232415902,21.7125382262997,6.42201834862385,1.52905198776758
"14","NCT00045162","Cancer","Phase 3","Not",9.3,61.3150684931507,651,0,0,59439.3431372549,0.419753086419753,62,4.32098765432099,1.23456790123457,0.617283950617284,0.127725856697819,0,0,0.00934579439252336,0,0,0.199376947040498,0.411214953271028,0.666666666666667,0.414330218068536,0,0,0.00311526479750779,0.0529595015576324,0,0.227414330218069,0.149532710280374,0.236760124610592,0.566978193146417,0.0809968847352025,0,0.0560747663551402,0.330218068535826,0,0.725856697819315,0,0,0.00311526479750779,0.0778816199376947,0,0,0.271028037383178,0,0.152647975077882,0.21183800623053,0.0654205607476635,0.0155763239875389,0,0.0872274143302181,0,0,0.0529595015576324,0.0747663551401869,0,0,0.669781931464174,0.545171339563863,0.0996884735202492,0,0,0,0,0.00311526479750779,0,0,0,0,0.158878504672897,0.00623052959501558,0.0716510903426791,0.246105919003115,0.0311526479750779,0,0.978193146417445,0.333333333333333,27.1604938271605,10.1851851851852,3.7037037037037
"17","NCT00047385","Cancer","Phase 3","Not",1.39615854477407,98.0712328767123,53454,0,0,59495,0.410369594493491,61.4,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74083495436181e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48166990872363e-05,1.84049079754601,1.84049079754601,0
"18","NCT00047385","Cancer","Phase 3","Not",1.39615854477407,98.0712328767123,53454,0,0,59495,0.409849562158521,61.4,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972981064291595,0.972981064291595,0
